word,sentiment,stem,prefix,suffix
Berjaya,1,jaya,ber,-
berkembang,0,kembang,ber,-
bermimpi baik,1,mimpi,ber,-
berharap,1,harap,ber,-
kehilangan,-1,hilang,ke,an
hancur,-1,hancur,-,-
keburukan,-1,buruk,ke,an
bimbang,-1,bimbang,-,-
benda,0,benda,-,-
tempat,0,tempat,-,-
waktu,0,waktu,-,-
orang,0,orang,-,-
hal,0,hal,-,-
perkara,0,perkara,-,-
kesedihan,-1,sedih,ke,an
kemarahan,-1,marah,ke,an
kecewa,-1,kecewa,-,-
kesusahan,-1,susah,ke,an
kegagalan,-1,gagal,ke,an
kecemasan,-1,cemas,ke,an
kesalahan,-1,salah,ke,an
kebencian,-1,benci,ke,an
cemburu,-1,cemburu,-,-
kecewalah,-1,kecewa,-,lah
gagal,-1,gagal,-,-
susah,-1,susah,-,-
kebahagiaan,1,bahagia,ke,an
kejayaan,1,jaya,ke,an
kegembiraan,1,gembira,ke,an
keindahan,1,indah,ke,an
kasihan,1,kasih,-,an
keberanian,1,berani,ke,an
optimisme,1,optimum,-,-
kreativiti,1,kreatif,-,ti
penghargaan,1,harga,peng-,an
